Phi_1,Phi_2,DPhi_1,DPhi_2,DDPhi_1,t,wire_dist,overlap
0.0,0.0,0.0,0.0,41.15418187086045,0.0,2.1904,True
1.7165947621030005e-06,5.1448854770865145e-06,0.006865562946934531,0.020577090935430226,41.13943823267149,0.0005,2.1904,
6.8647464091471065e-06,2.0574633661913935e-05,0.013726226667346691,0.04113943823267148,41.10987541443953,0.001,2.1904,
1.5442004019817562e-05,4.628185384588579e-05,0.020581985930204275,0.06168696634986975,41.08016160823855,0.0015,2.1904,
2.74459140590731e-05,8.22591175735935e-05,0.02743283551162248,0.08221959984091003,41.05029699929613,0.002,2.1904,
4.28740203816669e-05,0.00012849895868920243,0.03427877019462389,0.10273726334916587,41.020281760382844,0.0025,2.1904,
6.172386423554048e-05,0.00018499387337964294,0.04111978476890014,0.12323988160129286,40.990116051899946,0.003,2.1904,
8.399298426509916e-05,0.0002517363202147087,0.0479558740305751,0.1437273794010658,40.959800021966615,0.0035,2.1904,
0.00010967891651436917,0.0003287187201840851,0.05478703278196984,0.16419968162325949,40.92933380650783,0.004,2.1904,
0.00013877919443003794,0.0004159334567313278,0.06161325583136897,0.18465671320757365,40.89871752934221,0.0045000000000000005,2.1904,
0.0001712913488643776,0.0005133728757848166,0.06843453799278883,0.20509839915260167,40.867951302270086,0.005,2.1904,
0.00020721290807805364,0.0006210292857857034,0.07525087408574699,0.2255246645098437,40.83703522516177,0.0055,2.1904,
0.00024654139774281787,0.0007388949577128778,0.08206225893503376,0.24593543437776347,40.8059693860464,0.006,2.1904,
0.0002892743409440879,0.0008669621251049717,0.08886868737048474,0.2663306338958902,40.77475386120085,0.006500000000000001,2.1904,
0.00033540925818341345,0.0010052229840794285,0.09567015422675547,0.28671018823896427,40.74338871523793,0.007,2.1904,
0.0003849436673808306,0.0011536696933486521,0.1024666543430974,0.30707402261112804,40.71187400119669,0.0075,2.1904,
0.00043787508387710383,0.0013122943742332686,0.10925818256313553,0.327422062240161,40.68020976063161,0.008,2.1904,
0.0004942010204358571,0.0014810891106725082,0.11604473373464759,0.3477542323717597,40.648396023701196,0.0085,2.1904,
0.0005539189872455956,0.0016600459492317453,0.12282630270934469,0.36807045826386225,40.61643280925904,0.009000000000000001,2.1904,
0.0006170264919216184,0.0018491568991072095,0.12960288434265388,0.3883706651810187,40.58432012494387,0.0095,2.1904,
0.0006835210395078218,0.002048413932127897,0.13637447349350187,0.40865477838880604,40.55205796726881,0.01,2.1904,
0.0007534001324783961,0.00225780898275469,0.14314106502410082,0.42892272314828755,40.519646321712344,0.0105,2.1904,
0.0008266612707394134,0.002477333948076731,0.1499026537997349,0.4491744247105184,40.48708516280925,0.011,2.1904,
0.0009033019516303138,0.002706980687805052,0.1566592346885494,0.46940980831109674,40.45437445424068,0.0115,2.1904,
0.0009833196699252798,0.002946741024263491,0.1634108025613406,0.4896287991647591,40.42151414892561,0.012,2.1904,
0.0010667119178345125,0.0031966067423769237,0.1701573522913477,0.5098313224600224,40.3885041891121,0.0125,2.1904,
0.0011534761850053995,0.0034565695896568195,0.17689887875404575,0.5300173033538712,40.35534450646742,0.013000000000000001,2.1904,
0.0012436099585235822,0.0037266212761841605,0.18363537682694095,0.5501866669664899,40.32203502217169,0.0135,2.1904,
0.0013371107229139213,0.004006753474589731,0.19036684138936671,0.5703393383760427,40.28857564700684,0.014,2.1904,
0.0014339759601413574,0.004296957820031816,0.1970932673222817,0.5904752426134967,40.25496628145072,0.0145,2.1904,
0.001534203149611676,0.004597225910171309,0.20381464950806918,0.6105943046574934,40.221206815768255,0.015,2.1904,
0.001637789768172169,0.004907549305144289,0.21053098283033825,0.630696449429265,40.187297130102934,0.0155,2.1904,
0.001744733290112197,0.005227919527532045,0.21724226217372594,0.6507816017875964,40.15323709456982,0.016,2.1904,
0.001855031187163657,0.00555832806232861,0.22394848242370183,0.6708496865238347,40.1190265693474,0.0165,2.1904,
0.001968680928501347,0.005898766356905794,0.2306496384663731,0.6909006283569438,40.08466540477059,0.017,2.1904,
0.002085679980743238,0.006249225820975774,0.2373457251882921,0.7109343519286054,40.05015344142396,0.0175,2.1904,
0.0022060258079506494,0.0066096978265512375,0.2440367374762645,0.7309507817983678,40.015490510233235,0.018000000000000002,2.1904,
0.002329715871628325,0.006980173707903106,0.25072267021715994,0.7509498424388384,39.980676432558425,0.0185,2.1904,
0.0024567476307244232,0.007360644761515885,0.2574035182977235,0.7709314582309262,39.945711020289195,0.019,2.1904,
0.0025871185416304035,0.007751102246040619,0.2640792766043885,0.7908955534591277,39.91059407593434,0.0195,2.1904,
0.0027208260581808243,0.008151537382245527,0.27074994002309194,0.8108420523068607,39.875325392718764,0.02,2.1904,
0.002857867631653051,0.008561941352964307,0.27741550343908983,0.8307708788518465,39.8399047546751,0.0205,2.1904,
0.00299824071076687,0.008982305303042134,0.28407596173677563,0.8506819570615358,39.80433193673662,0.021,2.1904,
0.003141942741684008,0.009412620339279407,0.29073130979949885,0.8705752107885831,39.76860670483302,0.021500000000000002,2.1904,
0.003288971168007571,0.0098528775303732,0.297381542509386,0.8904505637663686,39.73272881598257,0.022,2.1904,
0.003439323430781386,0.010303067906856558,0.30402665474716295,0.9103079396045657,39.696698018387906,0.0225,2.1904,
0.003592996968489253,0.010763182461035506,0.3106666413919782,0.9301472617847565,39.6605140515278,0.023,2.1904,
0.0037499892170541164,0.01123321214692394,0.3173014973212282,0.9499684536560936,39.62417664625298,0.0235,2.1904,
0.003910297609837146,0.011713147880176319,0.32393121741038405,0.9697714384310095,39.58768552487959,0.024,2.1904,
0.00407391957763673,0.012202980538018268,0.3305557965328192,0.9895561391809732,39.55104040128458,0.0245,2.1904,
0.004240852548687379,0.012702700959175018,0.3371752295596397,1.009322478832294,39.51424098099869,0.025,2.1904,
